Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
ionic-framework,2013-08-20T23:06:02Z,6047,889,2025-03-02T15:52:44Z,TypeScript,100,0
bat,2018-04-21T10:52:23Z,1390,41,2025-03-02T19:01:16Z,Rust,100,0
project-layout,2017-09-09T16:33:26Z,91,0,2025-03-02T20:34:33Z,Makefile,37,63
Magisk,2016-09-08T12:42:53Z,1540,143,2025-03-02T21:35:19Z,C++,100,0
material-design-icons,2014-10-08T18:01:28Z,48,16,2025-03-02T20:26:28Z,N/A,91,9
Semantic-UI,2013-04-08T23:32:04Z,357,154,2025-03-02T19:34:31Z,JavaScript,100,0
rich,2019-11-10T15:28:09Z,806,168,2025-03-02T20:48:34Z,Python,100,0
anime,2016-03-13T21:37:45Z,72,15,2025-03-02T20:15:56Z,JavaScript,99,1
ripgrep,2016-03-11T02:02:33Z,511,72,2025-03-02T21:50:40Z,Rust,100,0
pi-hole,2014-06-08T15:02:55Z,1990,111,2025-03-02T19:48:34Z,Shell,100,0
zustand,2019-04-09T09:10:06Z,746,92,2025-03-02T20:45:14Z,TypeScript,99,1
guava,2014-05-29T16:23:17Z,835,48,2025-03-02T20:51:57Z,Java,100,0
minio,2015-01-14T19:23:58Z,9763,511,2025-03-02T21:10:07Z,Go,100,0
